[2026-08-21 13:40:30] BUILD start: none
  스캔 20400개 처리, GICP 성공 19924 실패 475 (필터폴백 0)
  스캔 20600개 처리, GICP 성공 20123 실패 476 (필터폴백 0)
  스캔 20800개 처리, GICP 성공 20320 실패 479 (필터폴백 0)
  스캔 21000개 처리, GICP 성공 20520 실패 479 (필터폴백 0)
  스캔 21200개 처리, GICP 성공 20705 실패 494 (필터폴백 0)
  스캔 21400개 처리, GICP 성공 20904 실패 495 (필터폴백 0)
  스캔 21600개 처리, GICP 성공 21104 실패 495 (필터폴백 0)
  스캔 21800개 처리, GICP 성공 21304 실패 495 (필터폴백 0)
  스캔 22000개 처리, GICP 성공 21501 실패 498 (필터폴백 0)
  스캔 22200개 처리, GICP 성공 21695 실패 504 (필터폴백 0)
  스캔 22400개 처리, GICP 성공 21893 실패 506 (필터폴백 0)
  스캔 22600개 처리, GICP 성공 22092 실패 507 (필터폴백 0)
  스캔 22800개 처리, GICP 성공 22288 실패 511 (필터폴백 0)
  스캔 23000개 처리, GICP 성공 22487 실패 512 (필터폴백 0)
  스캔 23200개 처리, GICP 성공 22687 실패 512 (필터폴백 0)
  스캔 23400개 처리, GICP 성공 22887 실패 512 (필터폴백 0)
  스캔 23600개 처리, GICP 성공 23087 실패 512 (필터폴백 0)
  스캔 23800개 처리, GICP 성공 23287 실패 512 (필터폴백 0)
  스캔 24000개 처리, GICP 성공 23487 실패 512 (필터폴백 0)
  스캔 24200개 처리, GICP 성공 23687 실패 512 (필터폴백 0)
  스캔 24400개 처리, GICP 성공 23887 실패 512 (필터폴백 0)
  스캔 24600개 처리, GICP 성공 24087 실패 512 (필터폴백 0)
  스캔 24800개 처리, GICP 성공 24287 실패 512 (필터폴백 0)
  스캔 25000개 처리, GICP 성공 24487 실패 512 (필터폴백 0)
  스캔 25200개 처리, GICP 성공 24687 실패 512 (필터폴백 0)
  스캔 25400개 처리, GICP 성공 24887 실패 512 (필터폴백 0)
  스캔 25600개 처리, GICP 성공 25086 실패 513 (필터폴백 0)
  스캔 25800개 처리, GICP 성공 25286 실패 513 (필터폴백 0)
  스캔 26000개 처리, GICP 성공 25485 실패 514 (필터폴백 0)
  스캔 26200개 처리, GICP 성공 25685 실패 514 (필터폴백 0)
  스캔 26400개 처리, GICP 성공 25885 실패 514 (필터폴백 0)
[WARN] [1787289525.738139216] [rosbag2_storage_mcap]: attempted to read in receive timestamp order with no message index
  스캔 26600개 처리, GICP 성공 26085 실패 514 (필터폴백 0)
  스캔 26800개 처리, GICP 성공 26285 실패 514 (필터폴백 0)
  스캔 27000개 처리, GICP 성공 26485 실패 514 (필터폴백 0)
  스캔 27200개 처리, GICP 성공 26685 실패 514 (필터폴백 0)
  스캔 27400개 처리, GICP 성공 26885 실패 514 (필터폴백 0)
전처리=sor (gicp_downsample=0.3)
스캔 27598개 (TF 조회 실패로 스킵 29개)
GICP: 성공 27083, 실패(GT로 대체) 514 (그 중 수렴했지만 이동량 상한 2.0m 초과로 기각 30), 첫 스캔이라 스킵 1
필터링: 스캔당 폴백(점 10개 미만으로 필터 후 원본 사용) 0회, 필터 전 점 338741908개 -> 필터 후 331199209개 (2.2% 감소)
baseline 점 338741908개 -> /tmp/gicp_preproc/baseline_sor.npy
방법B(sor) 점 331199209개 -> /tmp/gicp_preproc/methodb_sor.npy
[2026-08-21 14:20:39] BUILD done: sor (exit 0)
[2026-08-21 14:20:39] SCORE start: methodb_sor
[methodb_sor] wheel FN%=42.45% (GT통과가능 618378개 중 pipeline이 막힘판정 262520개, 미측정 0.6%)
[methodb_sor] leg FN%=32.33% (GT통과가능 618378개 중 pipeline이 막힘판정 199902개, 미측정 0.6%)
[methodb_sor] 저장: /tmp/gicp_preproc/methodb_sor_fn.json
로그: /tmp/trav_fn_methodb_sor   결과: /tmp/gicp_preproc/methodb_sor_fn.json
[2026-08-21 14:36:48] SCORE done: methodb_sor (exit 0)
[2026-08-21 14:36:49] BUILD start: flatness
  스캔 200개 처리, GICP 성공 176 실패 23 (필터폴백 0)
  스캔 400개 처리, GICP 성공 347 실패 52 (필터폴백 0)
  스캔 600개 처리, GICP 성공 537 실패 62 (필터폴백 0)
  스캔 800개 처리, GICP 성공 728 실패 71 (필터폴백 0)
  스캔 1000개 처리, GICP 성공 925 실패 74 (필터폴백 0)
  스캔 1200개 처리, GICP 성공 1117 실패 82 (필터폴백 0)
  스캔 1400개 처리, GICP 성공 1306 실패 93 (필터폴백 0)
  스캔 1600개 처리, GICP 성공 1488 실패 111 (필터폴백 0)
  스캔 1800개 처리, GICP 성공 1679 실패 120 (필터폴백 0)
  스캔 2000개 처리, GICP 성공 1854 실패 145 (필터폴백 0)
  스캔 2200개 처리, GICP 성공 2046 실패 153 (필터폴백 0)
  스캔 2400개 처리, GICP 성공 2240 실패 159 (필터폴백 0)
  스캔 2600개 처리, GICP 성공 2429 실패 170 (필터폴백 0)
  스캔 2800개 처리, GICP 성공 2626 실패 173 (필터폴백 0)
  스캔 3000개 처리, GICP 성공 2816 실패 183 (필터폴백 0)
  스캔 3200개 처리, GICP 성공 3014 실패 185 (필터폴백 0)
  스캔 3400개 처리, GICP 성공 3193 실패 206 (필터폴백 0)
  스캔 3600개 처리, GICP 성공 3363 실패 236 (필터폴백 0)
  스캔 3800개 처리, GICP 성공 3549 실패 250 (필터폴백 0)
  스캔 4000개 처리, GICP 성공 3744 실패 255 (필터폴백 0)
  스캔 4200개 처리, GICP 성공 3941 실패 258 (필터폴백 0)
  스캔 4400개 처리, GICP 성공 4137 실패 262 (필터폴백 0)
  스캔 4600개 처리, GICP 성공 4332 실패 267 (필터폴백 0)
  스캔 4800개 처리, GICP 성공 4525 실패 274 (필터폴백 0)
  스캔 5000개 처리, GICP 성공 4715 실패 284 (필터폴백 0)
  스캔 5200개 처리, GICP 성공 4900 실패 299 (필터폴백 0)
  스캔 5400개 처리, GICP 성공 5088 실패 311 (필터폴백 0)
  스캔 5600개 처리, GICP 성공 5283 실패 316 (필터폴백 0)
  스캔 5800개 처리, GICP 성공 5482 실패 317 (필터폴백 0)
  스캔 6000개 처리, GICP 성공 5680 실패 319 (필터폴백 0)
  스캔 6200개 처리, GICP 성공 5876 실패 323 (필터폴백 0)
  스캔 6400개 처리, GICP 성공 6074 실패 325 (필터폴백 0)
  스캔 6600개 처리, GICP 성공 6270 실패 329 (필터폴백 0)
  스캔 6800개 처리, GICP 성공 6463 실패 336 (필터폴백 0)
  스캔 7000개 처리, GICP 성공 6653 실패 346 (필터폴백 0)
  스캔 7200개 처리, GICP 성공 6843 실패 356 (필터폴백 0)
  스캔 7400개 처리, GICP 성공 7043 실패 356 (필터폴백 0)
  스캔 7600개 처리, GICP 성공 7242 실패 357 (필터폴백 0)
  스캔 7800개 처리, GICP 성공 7436 실패 363 (필터폴백 0)
  스캔 8000개 처리, GICP 성공 7632 실패 367 (필터폴백 0)
